,Datetime,Tweet Id,Text
0,2020-06-07 16:07:08,1269662183371177985,"RT @AmitShah: कांग्रेस ने 60साल तक बस गरीबी हटाओ का नारा दिया।

लेकिन मोदी जी ने,

• 50करोड़ लोगों को स्वास्थ्य बीमा,
• 8 करोड़ को गैस,
• 2…"
1,2020-06-07 16:07:01,1269662156687097857,"RT @AmitShah: भाजपा लोकतंत्र, जनसंपर्क और जनसंवाद में विश्वास रखती।

ये वर्चुअल रैली जनता को कोरोना के विरुद्ध जंग में जोड़ने और उनके हौसले…"
2,2020-06-06 06:01:16,1269147325571588097,Shri Ved Marwah Ji will be remembered for his rich contributions to public life. His unwavering courage always stoo… https://t.co/uUyZ58iBIy
3,2020-06-05 14:28:30,1268912585790951424,"Rwanda is, and will remain, an important pillar of India's relationship with Africa."
4,2020-06-05 14:28:29,1268912582267678720,"Thank you, my friend President @PaulKagame. 

Rwanda has managed the COVID-19 crisis effectively under your leaders… https://t.co/9jrdBpmLcC"
5,2020-06-05 03:14:23,1268742941029183488,"Birthday greetings to UP’s dynamic and industrious CM, Shri @myogiadityanath Ji. Under his leadership the state is… https://t.co/XnQ3l4XRmJ"
6,2020-06-05 03:10:01,1268741840687120384,"On #WorldEnvironmentDay, we reiterate our pledge to preserve our planet’s rich biodiversity. Let us collectively do… https://t.co/Q7qyddQYnW"
7,2020-06-04 17:01:49,1268588780463599617,Addressed #GVS2020. This is a commendable effort to bring together various stakeholders and work to eliminate COVID… https://t.co/iwQA35U4EP
8,2020-06-04 08:30:00,1268459977078738945,Sad to hear of the demise of Shri Basu Chatterjee. His works are brilliant and sensitive. It touched people's heart… https://t.co/8KuKYYZNk1
9,2020-06-04 06:54:45,1268436008200175617,"With Comprehensive Strategic Partnership between India and Australia, we aspire to achieve yet new heights in our collaboration."
10,2020-06-04 06:54:44,1268436005692026881,"A new model of India-Australia partnership, a new model of conducting business.

Met my dear friend, PM… https://t.co/QvfWA8XCM4"
11,2020-06-04 05:33:19,1268415513354358785,At the virtual summit with PM @ScottMorrisonMP. https://t.co/6JIpZRae21
12,2020-06-04 05:04:30,1268408264389275649,"Glad to be joining the first India-Australia Virtual Summit with you, PM @ScottMorrisonMP. 

India-Australia ties h… https://t.co/o9bULfVeze"
13,2020-06-03 13:06:17,1268167118089891840,I also thanked him for taking care of the safety and security of the Indian community in Mozambique.
14,2020-06-03 13:06:16,1268167115980210178,"Had an excellent talk with H.E. Filipe Nyusi, President of Mozambique on COVID-19 situation. I assured him of India… https://t.co/i3LdEb1o80"
15,2020-06-03 13:05:00,1268166795992551430,"Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Ordinance, 2020 approved by the… https://t.co/nwvuAw43di"
16,2020-06-03 13:04:59,1268166793513721856,"Farming Produce Trade and Commerce (Promotion and Facilitation) Ordinance, 2020 will pave the way for the creation… https://t.co/pniKCj5Iaw"
17,2020-06-03 13:04:59,1268166791089360897,"Farming Produce Trade and Commerce (Promotion and Facilitation) Ordinance, 2020 will nurture an eco-system where fa… https://t.co/g4NomHdRq4"
